theme_name,color,year,count
Airport,#C91A09,2023,12
Airport,#582A12,2023,1
Airport,#FE8A18,2023,6
Airport,#F08F1C,2023,8
Airport,#E4CD9E,2023,7
Airport,#F8BB3D,2023,1
Airport,#F2CD37,2023,11
Airport,#BBE90B,2023,24
Airport,#84B68D,2023,2
Airport,#AEEFEC,2023,2
Airport,#078BC9,2023,13
Airport,#0A3463,2023,15
Airport,#0055BF,2023,3
Airport,#FFFFFF,2023,81
Airport,#FCFCFC,2023,2
Airport,#A0A5A9,2023,60
Airport,#898788,2023,2
Airport,#6C6E68,2023,30
Airport,#635F52,2023,5
Airport,#05131D,2023,54
Architecture,#C91A09,2023,6
Architecture,#582A12,2023,43
Architecture,#FE8A18,2023,1
Architecture,#AA7F2E,2023,2
Architecture,#E4CD9E,2023,29
Architecture,#237841,2023,3
Architecture,#184632,2023,5
Architecture,#0055BF,2023,1
Architecture,#3F3691,2023,2
Architecture,#E4ADC8,2023,2
Architecture,#FFFFFF,2023,77
Architecture,#A0BCAC,2023,17
Architecture,#A0A5A9,2023,36
Architecture,#898788,2023,2
Architecture,#958A73,2023,49
Architecture,#6C6E68,2023,62
Architecture,#352100,2023,12
Architecture,#05131D,2023,14
